© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1953 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;F.D.P.;CSU;GB/BHE;BP;DP;DRP;Zentrum;GVP;KPD;DNS;SSW
03;073;Meppen;34910;32168;750;31418;24465;3463;398;0;2159;0;494;234;0;114;91;0;0
03;074;Osnabrück;75504;69826;2074;67752;38384;15894;2056;0;6482;0;3488;715;0;353;380;0;0
03;075;Wittlage;19285;17059;499;16560;6183;3811;1017;0;1905;0;2861;666;0;76;41;0;0
03;076;Emden, Stadt;27592;23108;847;22261;4671;8874;4347;0;726;0;546;1509;0;273;1315;0;0
03;077;Aurich (Ostfriesland);43719;33510;1535;31975;10759;11848;1912;0;2338;0;875;3146;0;219;878;0;0
03;078;Leer;81018;65961;2110;63851;30079;20360;2870;0;3891;0;1852;3749;0;387;663;0;0
03;079;Norden;53299;46124;1670;44454;12279;19044;5285;0;2194;0;1479;3111;0;484;578;0;0
03;080;Wittmund;34704;27459;924;26535;9036;5829;5816;0;1900;0;716;2951;0;133;154;0;0
03;081;Braunschweig, Stadt;168116;145531;3351;142180;54812;52125;5756;0;7424;0;16257;2049;0;1098;2659;0;0
03;082;Goslar, Stadt;28614;25569;556;25013;13837;5956;1280;0;1715;0;1606;296;0;143;180;0;0
03;083;Salzgitter, Stadt;63545;55810;2074;53736;26395;14501;1596;0;6381;0;2135;1551;0;200;977;0;0
03;084;Blankenburg;12551;11436;299;11137;4525;3802;992;0;999;0;564;121;0;49;85;0;0
03;085;Braunschweig;45396;41134;1309;39825;12273;12299;1624;0;7056;0;5536;557;0;129;351;0;0
03;086;Gandersheim;57125;52698;1551;51147;17740;18757;2537;0;5906;0;4572;991;0;181;463;0;0
03;087;Goslar;30589;28125;982;27143;11291;9321;464;0;4130;0;1080;401;0;81;375;0;0
03;088;Helmstedt;81778;75128;2228;72900;30887;22270;1425;0;9253;0;7264;903;0;239;659;0;0
03;089;Wolfenbüttel;95598;86045;2472;83573;37359;27266;3059;0;8188;0;4445;1857;0;403;996;0;0
03;090;Delmenhorst, Stadt;36690;31697;1246;30451;11358;10769;3459;0;2253;0;1114;691;0;243;564;0;0
03;091;Oldenburg (Oldenburg), Stadt;80537;69084;2136;66948;22906;13670;14359;0;7846;0;3108;3456;0;505;1098;0;0
03;092;Wilhelmshaven, Stadt;66861;57856;1410;56446;20902;21548;5104;0;1073;0;3312;3154;0;290;1063;0;0
03;093;Ammerland;43585;36460;1356;35104;8962;5819;12435;0;3837;0;1549;2141;0;153;208;0;0
03;094;Cloppenburg;55092;50767;1276;49491;38463;4614;877;0;4156;0;628;393;0;139;221;0;0
03;095;Friesland;56653;48547;1722;46825;13544;13628;10553;0;4236;0;1791;2418;0;237;418;0;0
03;096;Oldenburg (Oldenburg);45249;39662;1549;38113;13585;7043;7805;0;6165;0;1671;1435;0;203;206;0;0
03;097;Vechta;45592;43009;1768;41241;32176;3473;419;0;4124;0;640;226;0;101;82;0;0
03;098;Wesermarsch;67742;58148;2706;55442;14429;17234;11108;0;6735;0;3562;1473;0;288;613;0;0
04;099;Bremen, Stadt;334666;295715;8835;286880;73305;112032;24026;0;9158;0;42900;8948;0;4813;11698;0;0
04;100;Bremerhaven, Stadt;86292;72205;2885;69320;15151;26814;2751;0;2446;0;17564;1604;0;803;2187;0;0
05;101;Düsseldorf, Stadt;414682;342176;7554;334622;172897;99654;29256;0;6757;0;3684;0;5457;4117;12800;0;0
05;102;Duisburg, Stadt;314541;257944;7296;250648;110953;98311;15186;0;4035;0;2759;0;4872;4011;10521;0;0
05;103;Essen, Stadt;466651;383963;8788;375175;159878;145928;20622;0;5168;0;3307;0;12214;13549;14509;0;0
05;104;Krefeld, Stadt;130976;108494;2446;106048;55447;30957;11152;0;2242;0;1330;0;1706;1330;1884;0;0
05;105;Mönchengladbach, Stadt;92175;75607;2085;73522;48770;12786;4217;0;1163;0;881;0;3935;590;1180;0;0
05;106;Mülheim an der Ruhr, Stadt;111604;95735;2481;93254;37734;37104;10307;0;1047;0;1368;0;446;1760;3488;0;0
05;107;Neuß, Stadt;48959;40775;1218;39557;23770;9332;2911;0;1403;0;359;0;323;336;1123;0;0
05;108;Oberhausen, Stadt;148192;126216;5141;121075;49367;42512;6616;0;1320;0;790;0;14407;2518;3545;0;0
05;109;Remscheid, Stadt;81430;69627;1426;68201;24779;18201;11615;0;2103;0;903;0;676;1679;8245;0;0
05;110;Rheydt, Stadt;57044;47415;1541;45874;25395;10111;4681;0;732;0;344;0;2598;848;1165;0;0
05;111;Solingen, Stadt;115348;100285;3191;97094;35317;29880;16394;0;1440;0;836;0;438;1170;11619;0;0
05;112;Viersen, Stadt;26439;22820;759;22061;12090;5675;1582;0;604;0;161;0;1390;174;385;0;0
05;113;Wuppertal, Stadt;284107;231848;6263;225585;89666;74824;26568;0;3575;0;3744;0;8483;8244;10481;0;0
05;114;Dinslaken;57914;48491;1523;46968;17437;19974;3867;0;587;0;243;0;2324;545;1991;0;0
05;115;Düsseldorf-Mettmann;179646;151589;4158;147431;70880;43962;13680;0;5418;0;821;0;3562;3084;6024;0;0
05;116;Geldern;47343;43539;1563;41976;31133;6382;2155;0;491;0;184;0;1104;259;268;0;0
05;117;Grevenbroich;98315;85143;3020;82123;51540;18154;4876;0;3536;0;664;0;1684;456;1213;0;0
05;118;Kempen-Krefeld;123146;108167;3858;104309;59861;25401;6478;0;3578;0;672;0;6335;654;1330;0;0
05;119;Kleve;54710;49164;1636;47528;32712;9677;3109;0;515;0;123;0;816;297;279;0;0
05;120;Moers;167728;143846;4079;139767;62751;54266;11096;0;2514;0;1159;0;2693;1902;3386;0;0
05;121;Rees;52915;46364;1505;44859;23221;11724;4942;0;750;0;289;0;3035;337;561;0;0
05;122;Rhein-Wupper-Kreis;157244;134157;3902;130255;66623;34561;13423;0;6310;0;1219;0;872;1931;5316;0;0
05;123;Bonn, Stadt;91231;74283;1651;72632;46028;12195;8131;0;2136;0;1590;0;716;1082;754;0;0
05;124;Köln, Stadt;477160;380895;8914;371981;194238;120823;31634;0;5174;0;4228;0;1824;2833;11227;0;0
05;125;Bergheim (Erft);62641;55685;2176;53509;27062;19829;4167;0;882;0;294;0;302;151;822;0;0
05;126;Bonn;107319;92180;3038;89142;57580;16567;7420;0;3153;0;1112;0;1373;995;942;0;0
05;127;Euskirchen;64057;56246;2090;54156;33288;11417;6392;0;1151;0;620;0;535;219;534;0;0
05;128;Köln;107942;93936;3282;90654;48251;29800;5483;0;2747;0;751;0;363;471;2788;0;0
05;129;Oberbergischer Kreis;84466;71829;2110;69719;28001;19886;13049;0;2647;0;1292;0;949;3254;641;0;0
05;130;Rheinisch-Bergischer Kreis;114394;99541;2702;96839;57295;22607;9497;0;3778;0;410;0;972;787;1493;0;0
05;131;Rhein-Sieg-Kreis;145235;127631;4329;123302;72269;26057;8470;0;5318;0;761;0;7827;1469;1131;0;0
05;132;Aachen, Stadt;102136;84503;2438;82065;46558;22280;7822;0;915;0;513;0;958;1452;1567;0;0
05;133;Aachen;153826;134669;6130;128539;71667;40488;7005;0;1761;0;1374;0;892;1112;4240;0;0
05;134;Düren;83820;72852;2566;70286;43932;18824;4051;0;726;0;477;0;745;511;1020;0;0
05;135;Erkelenz;47943;41947;1927;40020;28043;7426;2290;0;991;0;243;0;509;232;286;0;0
05;136;Geilenkirchen-Heinsberg;66235;58996;3082;55914;41546;9347;2449;0;690;0;326;0;467;285;804;0;0
05;137;Jülich;40053;36069;1441;34628;21816;8534;2683;0;349;0;178;0;500;145;423;0;0
05;138;Monschau;17587;15968;646;15322;11604;1174;1308;0;244;0;75;0;741;129;47;0;0
05;139;Schleiden;40508;36500;1431;35069;27226;3280;3107;0;437;0;160;0;492;216;151;0;0
05;140;Bocholt, Sadt;24931;21934;574;21360;13178;4838;1407;0;148;0;45;0;1370;112;262;0;0
05;141;Bottrop, Stadt;67150;59131;1821;57310;26469;21506;1772;0;423;0;254;0;1601;691;4594;0;0
05;142;Gelsenkirchen, Stadt;245241;204313;6291;198022;77508;84014;9173;0;3458;0;1540;0;8402;2758;11169;0;0
05;143;Gladbeck, Stadt;50682;45001;1428;43573;18457;18777;2080;0;398;0;273;0;611;479;2498;0;0
05;144;Münster (Westf.), Stadt;91350;78167;1405;76762;46173;14567;7368;0;2266;0;1186;0;4008;717;477;0;0
05;145;Recklinghausen, Stadt;78416;67528;2147;65381;30994;24141;4572;0;1660;0;172;0;939;455;2448;0;0
05;146;Ahaus;58565;54039;1406;52633;34771;8097;1775;0;2947;0;278;0;4056;218;491;0;0
05;147;Beckum;89618;81136;1866;79270;48235;20760;2809;0;3368;0;326;0;2280;225;1267;0;0
05;148;Borken;45477;41850;1253;40597;30287;4436;1636;0;1384;0;180;0;2452;146;76;0;0
05;149;Coesfeld;46818;42956;988;41968;26654;6156;838;0;2250;0;162;0;5599;172;137;0;0
05;150;Lüdinghausen;75962;69066;1715;67351;42598;16773;1943;0;2072;0;425;0;2050;262;1228;0;0
05;151;Münster;56407;50339;1339;49000;29173;8647;2014;0;2314;0;399;0;6049;201;203;0;0
05;152;Recklinghausen;172839;152517;4111;148406;72523;54255;6193;0;3583;0;418;0;5018;1023;5393;0;0
05;153;Steinfurt;96655;88798;2517;86281;50603;18511;2852;0;2968;0;1621;0;8886;323;517;0;0
05;154;Tecklenburg;72844;63301;2449;60852;26535;16400;6182;0;3551;0;1123;0;6317;385;359;0;0
05;155;Warendorf;36148;33437;749;32688;22114;4212;1009;0;1705;0;384;0;3061;104;99;0;0
05;156;Bielefeld, Stadt;118083;106352;2786;103566;34056;42787;15866;0;5021;0;2073;0;742;1358;1663;0;0
05;157;Herford, Stadt;37020;32592;1113;31479;11610;13136;4212;0;1067;0;574;0;64;413;403;0;0
05;158;Bielefeld;72936;66530;1983;64547;22640;29019;6284;0;3701;0;847;0;323;841;892;0;0
05;159;Büren;37752;34450;912;33538;19154;4526;1116;0;2434;0;251;0;5887;86;84;0;0
05;160;Detmold;93093;81539;3074;78465;23542;30345;13288;0;5637;0;1844;0;199;2371;1239;0;0
05;161;Halle (Westf.);37939;33220;1048;32172;12527;11487;5247;0;1875;0;511;0;90;205;230;0;0
05;162;Herford;110927;98001;3456;94545;31319;45953;10375;0;3094;0;1056;0;255;1164;1329;0;0
05;163;Höxter;61083;55525;1328;54197;33920;10337;2994;0;2722;0;486;0;3206;275;257;0;0
05;164;Lemgo;89569;79439;3229;76210;20075;34018;13405;0;4112;0;1805;0;260;1443;1092;0;0
05;165;Lübbecke;54117;46310;1482;44828;17541;16356;7569;0;1499;0;895;0;66;626;276;0;0
05;166;Minden;124054;107307;3899;103408;36174;42925;14624;0;5178;0;1486;0;110;1352;1559;0;0
05;167;Paderborn;72292;64466;1681;62785;39224;10132;3912;0;1933;0;1061;0;5878;448;197;0;0
05;168;Warburg;31133;28353;741;27612;18945;3939;1412;0;596;0;167;0;2378;107;68;0;0
05;169;Wiedenbrück;86464;77781;1975;75806;50185;14537;5016;0;2500;0;1487;0;1467;384;230;0;0
05;170;Bochum, Stadt;226320;196021;5132;190889;83344;79360;13462;0;2833;0;968;0;1303;2661;6958;0;0
05;171;Castrop-Rauxel, Stadt;52240;46198;1798;44400;20334;18904;2179;0;692;0;245;0;146;334;1566;0;0
05;172;Dortmund, Stadt;406467;341484;11853;329631;126135;150252;25033;0;5562;0;3827;0;1172;3710;13940;0;0
05;173;Hagen, Stadt;116363;100970;2777;98193;43319;34049;10457;0;1569;0;1053;0;306;2077;5363;0;0
05;174;Hamm, Stadt;44317;37724;998;36726;18924;10234;4321;0;1038;0;317;0;965;438;489;0;0
05;175;Herne, Stadt;78579;69372;2099;67273;28267;28394;4301;0;1521;0;426;0;295;830;3239;0;0
05;176;Iserlohn, Stadt;34592;29159;850;28309;8935;9583;4341;0;1221;0;326;0;2343;1158;402;0;0
05;177;Lüdenscheid, Stadt;38064;32403;752;31651;12598;11411;4648;0;926;0;331;0;43;1119;575;0;0
05;178;Lünen, Stadt;43663;39705;1258;38447;16282;16659;2345;0;962;0;241;0;73;330;1555;0;0
05;179;Siegen, Stadt;28319;24211;605;23606;10975;4998;4497;0;790;0;265;0;119;1733;229;0;0
05;180;Wanne-Eickel, Stadt;66009;56893;1849;55044;23009;23450;3469;0;890;0;152;0;193;569;3312;0;0
05;181;Wattenscheid, Stadt;49590;43475;1369;42106;18123;18054;1904;0;857;0;173;0;203;551;2241;0;0
05;182;Witten, Stadt;60002;52974;1609;51365;18934;23869;4819;0;1168;0;474;0;136;487;1478;0;0
05;183;Altena;100027;86543;2201;84342;33839;29963;12217;0;3499;0;982;0;805;1678;1359;0;0
05;184;Arnsberg;77897;69768;1747;68021;40321;16826;4360;0;1298;0;517;0;3807;441;451;0;0
05;185;Brilon;47522;42876;1175;41701;27036;6798;1420;0;2063;0;386;0;3623;214;161;0;0
05;186;Ennepe-Ruhr-Kreis;161010;141257;3891;137366;47547;56892;19934;0;2628;0;1315;0;767;1942;6341;0;0
05;187;Iserlohn;112214;98689;3142;95547;41015;32392;9136;0;3492;0;773;0;5518;1284;1937;0;0
05;188;Lippstadt;57708;51507;1404;50103;29228;11198;3224;0;3548;0;320;0;1870;347;368;0;0
05;189;Meschede;48816;44065;1094;42971;29431;7640;2487;0;1504;0;393;0;820;348;348;0;0
05;190;Olpe;56129;51603;1133;50470;34950;8751;2286;0;606;0;242;0;2834;415;386;0;0
05;191;Siegen;95686;82595;1720;80875;36259;18884;10736;0;4917;0;536;0;431;8395;717;0;0
05;192;Soest;65436;57091;1637;55454;27738;10978;7596;0;2591;0;919;0;4770;415;447;0;0
05;193;Unna;131385;118298;3786;114512;43218;51171;10562;0;2621;0;1103;0;1332;815;3690;0;0
05;194;Wittgenstein;27527;23607;501;23106;9750;6807;4534;0;904;0;177;0;45;769;120;0;0
06;195;Darmstadt, Stadt;77027;66293;2528;63765;18577;23271;16335;0;1816;0;885;0;0;1166;1715;0;0
06;196;Gießen, Stadt;35538;29823;835;28988;9656;8279;7330;0;1725;0;364;0;0;727;907;0;0
06;197;Offenbach am Main, Stadt;70467;59685;2114;57571;18570;22408;4900;0;921;0;7639;0;0;798;2335;0;0
06;198;Alsfeld;40191;34180;749;33431;7129;8832;11632;0;4522;0;686;0;0;357;273;0;0
06;199;Bergstraße;114156;100613;4612;96001;42225;29227;13276;0;5857;0;502;0;0;1052;3862;0;0
06;200;Büdingen;57786;47339;2428;44911;8548;15782;13998;0;3904;0;1242;0;0;745;692;0;0
06;201;Darmstadt;58348;52756;3141;49615;10404;22325;10684;0;2180;0;596;0;0;702;2724;0;0
06;202;Dieburg;58781;53269;3195;50074;19026;18439;7579;0;1367;0;461;0;0;371;2831;0;0
06;203;Erbach;45734;39417;1942;37475;11541;15842;6207;0;1530;0;825;0;0;479;1051;0;0
06;204;Friedberg;95302;84436;4263;80173;22260;29958;16835;0;6319;0;1658;0;0;1089;2054;0;0
06;205;Gießen;68445;60030;1861;58169;11285;21136;14643;0;8792;0;620;0;0;975;718;0;0
06;206;Groß-Gerau;88672;79547;5075;74472;20987;32021;11906;0;3465;0;1167;0;0;915;4011;0;0
06;207;Lauterbach;32300;26815;680;26135;7368;6803;7468;0;2700;0;956;0;0;691;149;0;0
