© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1961 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;;;
(Die Briefwahl ist nicht in den Kreisergebnissen enthalten, sondern wurde extra ausgewiesen.);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;GDP;DFU;DRP;DG;SSW
03;089;Wolfenbüttel;95884;81468;2844;78624;34364;31473;0;8697;2021;1071;954;44;0
03;090;Delmenhorst, Stadt;40608;34554;1261;33293;16045;11700;0;3810;863;432;427;16;0
03;091;Oldenburg (Oldenburg), Stadt;86294;69479;2878;66601;23733;21859;0;15050;2893;1165;1879;22;0
03;092;Wilhelmshaven, Stadt;72136;59478;2018;57460;27663;20721;0;6940;534;927;618;57;0
03;093;Ammerland;45612;36677;1713;34964;9195;12477;0;9933;1483;273;1581;22;0
03;094;Cloppenburg;57110;50643;1384;49259;6297;39483;0;1930;1077;157;312;3;0
03;095;Friesland;57042;47024;2211;44813;18196;13722;0;10381;905;510;1081;18;0
03;096;Oldenburg (Oldenburg);48473;41121;1670;39451;12093;15544;0;7906;2378;331;1180;19;0
03;097;Vechta;47007;42549;1078;41471;4213;34255;0;1400;1310;72;208;13;0
03;098;Wesermarsch;66191;55090;2418;52672;21630;15997;0;9938;2981;644;1451;31;0
04;099;Bremen, Stadt;406408;342557;15771;326786;165941;85693;0;50682;10516;10041;3913;0;0
04;100;Bremerhaven, Stadt;101352;81774;3454;78320;39090;21434;0;9053;5817;2145;781;0;0
05;101;Düsseldorf, Stadt;500092;394418;9897;384521;138925;171142;0;58484;3087;10824;1935;124;0
05;102;Duisburg, Stadt;356163;287076;8813;278263;133731;109130;0;25312;1455;7400;1182;53;0
05;103;Essen, Stadt;525804;423893;14005;409888;189338;170436;0;36220;1619;10705;1483;87;0
05;104;Krefeld, Stadt;154572;125026;3240;121786;45461;56402;0;17057;754;1593;478;41;0
05;105;Leverkusen, Stadt;65391;52762;1968;50794;20145;23111;0;6100;306;812;297;23;0
05;106;Mönchengladbach, Stadt;105509;85262;4027;81235;21364;47863;0;9833;468;1432;251;24;0
05;107;Mülheim an der Ruhr, Stadt;134789;110457;3516;106941;51488;38012;0;14313;404;2261;436;27;0
05;108;Neuss, Stadt;63594;52048;1704;50344;14322;28247;0;5724;1045;812;169;25;0
05;109;Oberhausen, Stadt;175426;144524;6119;138405;60706;62440;0;11222;513;2326;1131;67;0
05;110;Remscheid, Stadt;92475;75713;2504;73209;26489;28079;0;13115;534;4374;490;128;0
05;111;Rheydt, Stadt;66676;53386;2724;50662;15773;25816;0;6804;319;1800;140;10;0
05;112;Solingen, Stadt;127985;104732;3728;101004;36787;39552;0;16406;672;6988;502;97;0
05;113;Viersen, Stadt;29879;24865;1269;23596;6943;13283;0;2709;164;338;154;5;0
05;114;Wuppertal, Stadt;312108;246832;6983;239849;92782;91562;0;44636;1673;7897;986;313;0
05;115;Dinslaken;76806;64890;1277;63613;33271;23614;0;5217;212;1139;155;5;0
05;116;Düsseldorf-Mettmann;222577;181910;5319;176591;69185;75952;0;23813;1933;4632;1012;64;0
05;117;Geldern;52358;46438;1041;45397;8011;33209;0;3314;571;239;48;5;0
05;118;Grevenbroich;119969;101394;3283;98111;26542;58746;0;9538;1718;1278;269;20;0
05;119;Kempen-Krefeld;137779;117312;3527;113785;31909;67705;0;11300;1220;1360;261;30;0
05;120;Kleve;60780;53211;1261;51950;11751;34863;0;4557;259;278;233;9;0
05;121;Moers;210166;176577;4205;172372;80507;72543;0;14432;908;3080;816;86;0
05;122;Rees;64139;55031;1225;53806;18005;27537;0;7513;288;343;110;10;0
05;123;Rhein-Wupper-Kreis;129495;108109;3553;104556;33690;49187;0;15619;2252;3090;614;104;0
05;124;Bonn, Stadt;104312;74694;2188;72506;17050;40275;0;12916;870;1001;387;7;0
05;125;Köln, Stadt;592547;441412;12295;429117;153037;204181;0;57702;2532;10017;1550;98;0
05;126;Bergheim (Erft);70583;61296;1949;59347;22464;30950;0;4916;289;586;126;16;0
05;127;Bonn;133198;109017;3208;105809;24206;63306;0;15725;1081;988;484;19;0
05;128;Euskirchen;69929;59458;1879;57579;14677;35345;0;6272;531;508;236;10;0
05;129;Köln;134732;112311;2763;109548;36810;57866;0;11765;918;1889;273;27;0
05;130;Oberbergischer Kreis;93701;77590;2518;75072;26561;31505;0;13701;1572;880;823;30;0
05;131;Rheinisch-Bergischer Kreis;141753;117742;3960;113782;32011;63568;0;14166;1621;1826;547;43;0
05;132;Rhein-Sieg-Kreis;165206;138884;3290;135594;37065;79676;0;14711;2024;1281;794;43;0
05;133;Aachen, Stadt;117407;93579;3603;89976;28866;48081;0;10076;561;1941;431;20;0
05;134;Aachen;175945;150466;5092;145374;49949;80350;0;10853;677;2701;765;79;0
05;135;Düren;97609;82276;2790;79486;22892;46789;0;8116;346;1009;314;20;0
05;136;Erkelenz;56215;48997;1584;47413;12540;28441;0;5479;348;413;185;7;0
05;137;Jülich;45530;40001;1100;38901;10899;23947;0;3527;93;298;118;19;0
05;138;Monschau;18362;16358;531;15827;2014;12221;0;1370;89;104;23;6;0
05;139;Schleiden;41534;36318;1109;35209;4070;27840;0;2895;169;157;67;11;0
05;140;Selfkantkreis Geilenkirchen-Heinsberg;76755;67766;2213;65553;15342;44339;0;4860;200;571;227;14;0
05;141;Bocholt, Sadt;29951;25315;824;24491;7937;14320;0;1808;135;255;35;1;0
05;142;Bottrop, Stadt;76201;64514;1912;62602;26525;29799;0;2866;158;3069;172;13;0
05;143;Gelsenkirchen, Stadt;272084;224033;8205;215828;106038;84368;0;16104;989;7304;846;179;0
05;144;Gladbeck, Stadt;57809;49328;1486;47842;23293;20109;0;2542;210;1556;120;12;0
05;145;Münster (Westf.), Stadt;120248;96782;2674;94108;24846;50032;0;16302;892;1391;439;206;0
05;146;Recklinghausen, Stadt;91150;76003;2473;73530;31828;31226;0;7408;428;2245;371;24;0
05;147;Ahaus;66028;59054;1408;57646;9876;42654;0;4069;512;347;180;8;0
05;148;Beckum;102251;88918;2009;86909;27448;50665;0;5686;1524;1184;328;74;0
05;149;Borken;51806;46353;1073;45280;6651;34477;0;3479;377;203;86;7;0
05;150;Coesfeld;53043;46899;1031;45868;7979;33437;0;3151;760;435;96;10;0
05;151;Lüdinghausen;84121;73744;1761;71983;20124;45431;0;4804;449;904;261;10;0
05;152;Münster;62458;54617;1398;53219;11560;34786;0;5480;755;395;190;53;0
05;153;Recklinghausen;211091;181571;3892;177679;74442;85370;0;11667;1325;3784;1053;38;0
05;154;Steinfurt;107054;94385;2127;92258;22920;60105;0;7458;1014;495;198;68;0
05;155;Tecklenburg;81251;70013;2050;67963;22498;33430;0;9377;1756;592;268;42;0
05;156;Warendorf;38743;34633;842;33791;5985;24391;0;2736;420;165;68;26;0
05;157;Bielefeld, Stadt;129888;110552;3241;107311;49968;36722;0;17060;737;2013;772;39;0
05;158;Herford, Stadt;41198;34988;1067;33921;15075;13307;0;4642;327;359;202;9;0
05;159;Bielefeld;91669;80027;2132;77895;39484;26255;0;9977;674;964;458;83;0
05;160;Büren;37718;33272;836;32436;4928;24382;0;2214;698;160;34;20;0
05;161;Detmold;101548;85553;2329;83224;37430;23436;0;17938;2005;1540;852;23;0
05;162;Halle (Westf.);42009;35890;1241;34649;14561;12352;0;6407;746;215;289;79;0
05;163;Herford;118630;102933;3072;99861;51583;32141;0;13098;927;1500;590;22;0
05;164;Höxter;59988;51588;1254;50334;10010;34522;0;4016;1224;330;101;131;0
05;165;Lemgo;96354;82901;2236;80665;39325;22194;0;16133;1115;1327;543;28;0
05;166;Lübbecke;59354;49416;1528;47888;18943;19288;0;8155;622;366;499;15;0
05;167;Minden;136108;113605;3090;110515;51105;37618;0;17926;1506;1632;662;66;0
05;168;Paderborn;84046;71506;1504;70002;13428;49458;0;5782;561;545;212;16;0
05;169;Warburg;29455;25435;831;24604;3516;17890;0;2678;298;170;42;10;0
05;170;Wiedenbrück;102691;89410;1985;87425;22980;51386;0;10543;1225;883;392;16;0
05;171;Bochum, Stadt;259127;214126;6696;207430;106037;78142;0;16813;1086;4373;921;58;0
05;172;Castrop-Rauxel, Stadt;60292;51653;1898;49755;24916;20228;0;2987;380;1039;186;19;0
05;173;Dortmund, Stadt;467214;380957;14233;366724;188037;128892;0;36717;1434;9603;1900;141;0
05;174;Hagen, Stadt;141049;114593;4050;110543;51364;41802;0;12746;747;3161;699;24;0
05;175;Hamm, Stadt;50822;41667;1216;40451;14962;18965;0;5162;219;773;361;9;0
05;176;Herne, Stadt;81878;68743;2698;66045;31684;26440;0;4783;250;2583;283;22;0
05;177;Iserlohn, Stadt;40573;33071;1123;31948;12763;11944;0;6265;194;619;154;9;0
05;178;Lüdenscheid, Stadt;42887;35060;1514;33546;14275;13268;0;5025;169;518;271;20;0
05;179;Lünen, Stadt;50299;43296;1353;41943;20762;16403;0;3171;239;1230;129;9;0
05;180;Siegen, Stadt;34245;27105;996;26109;9963;10079;0;4819;444;609;140;55;0
05;181;Wanne-Eickel, Stadt;75470;62041;2642;59399;30459;22385;0;3852;260;1902;520;21;0
05;182;Wattenscheid, Stadt;57192;47767;1529;46238;23232;18423;0;2798;389;1227;136;33;0
05;183;Witten, Stadt;70879;59824;2246;57578;30921;19167;0;5558;420;1097;389;26;0
05;184;Altena;115447;97137;2552;94585;41625;34381;0;16073;651;1243;578;34;0
05;185;Arnsberg;87444;75787;1963;73824;22565;43523;0;6608;495;445;180;8;0
05;186;Brilon;47144;40511;1232;39279;8601;26413;0;3277;466;451;58;13;0
05;187;Ennepe-Ruhr-Kreis;182711;154097;3474;150623;73016;50156;0;20636;1212;4337;1207;59;0
05;188;Iserlohn;129817;109594;2397;107197;43542;47865;0;12927;752;1696;395;20;0
05;189;Lippstadt;62562;53770;1503;52267;15377;30043;0;4531;1790;426;92;8;0
05;190;Meschede;49785;43455;1032;42423;8571;29312;0;3678;393;374;89;6;0
05;191;Olpe;61677;53866;1282;52584;11207;37380;0;3210;258;414;100;15;0
05;192;Siegen;111898;92958;2483;90475;38801;33328;0;14096;2103;1395;429;323;0
05;193;Soest;69034;58145;1443;56702;15486;29397;0;9470;1449;471;414;15;0
05;194;Unna;151937;131864;3677;128187;63478;46699;0;13331;890;2622;1127;40;0
05;195;Wittgenstein;28597;23794;667;23127;9651;8487;0;4129;452;240;127;41;0
06;196;Darmstadt, Stadt;97282;78745;4094;74651;29965;26675;0;13882;1344;2240;545;0;0
06;197;Gießen, Stadt;44316;36427;2249;34178;12844;12134;0;6564;1353;1027;256;0;0
06;198;Offenbach am Main, Stadt;85450;71036;4569;66467;31835;22550;0;7180;2086;2536;280;0;0
06;199;Alsfeld;38990;31898;1736;30162;12165;8816;0;5919;2706;328;228;0;0
06;200;Bergstraße;127395;110312;5699;104613;40732;45774;0;10188;4605;2862;452;0;0
