© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1969 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;
;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;NPD;ADF;Sonstige
05;174;Iserlohn, Stadt;39527;34081;452;33629;15692;13493;0;2654;1474;162;154
05;175;Lünen, Stadt;50098;44451;727;43724;24508;15938;0;1438;1275;419;146
05;176;Wanne-Eickel, Stadt;68694;59843;984;58859;35379;18956;0;1952;1643;786;143
05;177;Wattenscheid, Stadt;57065;49722;679;49043;28505;16977;0;1852;1099;457;153
05;178;Witten, Stadt;69315;61953;872;61081;36837;18777;0;3074;1866;346;181
05;179;Arnsberg;91411;82495;1211;81284;32635;42970;0;3263;1870;137;409
05;180;Brilon;49126;43871;854;43017;13344;26360;0;1668;1237;59;349
05;181;Ennepe-Ruhr-Kreis;187913;167665;2020;165645;90503;57268;0;10292;5368;1552;662
05;182;Iserlohn;133110;118609;1571;117038;55874;50437;0;5868;3950;480;429
05;183;Lippstadt;65286;58450;846;57604;22629;30134;0;2463;1846;163;369
05;184;Lüdenscheid;161709;138023;1529;136494;67252;52296;0;10146;5753;658;389
05;185;Meschede;43127;39140;590;38550;11976;23887;0;1607;916;74;90
05;186;Olpe;74196;67431;996;66435;19956;43201;0;1760;1138;180;200
05;187;Siegen;152596;131690;1663;130027;62458;52981;0;8362;5333;504;389
05;188;Soest;76135;66820;1077;65743;22767;34758;0;4463;2853;158;744
05;189;Unna;148289;133809;1975;131834;73089;45755;0;6277;5449;945;319
05;190;Wittgenstein;29385;25660;387;25273;11849;10213;0;1733;1299;106;73
06;191;Darmstadt, Stadt;97153;84462;1309;83153;41285;29824;0;6816;4099;582;547
06;192;Frankfurt am Main, Stadt;462580;387137;4740;382397;189097;134428;0;33479;19899;3342;2152
06;193;Gießen, Stadt;46293;40826;699;40127;17551;15805;0;3403;2493;485;390
06;194;Hanau, Stadt;36032;30870;188;30682;15035;11324;0;2081;1627;480;135
06;195;Offenbach am Main, Stadt;81889;70441;1055;69386;36640;24331;0;4477;2774;884;280
