© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1957 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;;
(Die Briefwahl ist nicht in den Kreisergebnissen enthalten, sondern wurde extra ausgewiesen.);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;F.D.P.;DP;FU;GB/BHE;Sonstige
03;093;Ammerland;43857;35938;1272;34666;11006;6832;0;5544;6654;8;2606;2016
03;094;Cloppenburg;55359;49062;1286;47776;36978;4938;0;461;1856;586;2638;319
03;095;Friesland;54648;44574;1914;42660;14243;15118;0;6750;2970;11;2343;1225
03;096;Oldenburg (Oldenburg);45634;38958;1393;37565;15454;8925;0;3614;3450;19;3926;2177
03;097;Vechta;45621;41011;767;40244;30815;2901;0;335;929;2390;2532;342
03;098;Wesermarsch;64858;54679;1957;52722;17821;19065;0;4705;5027;20;3214;2870
04;099;Bremen, Stadt;371685;316571;12404;304167;92737;144130;0;17924;37718;0;6089;5569
04;100;Bremerhaven, Stadt;95565;76596;2954;73642;19776;33937;0;3331;14009;0;1702;887
05;101;Düsseldorf, Stadt;474097;385434;12998;372436;200839;121292;0;27926;7917;2095;9361;3006
05;102;Duisburg, Stadt;342161;278472;13698;264774;130817;107362;0;15190;2639;1365;5062;2339
05;103;Essen, Stadt;504718;408024;12850;395174;185533;174406;0;20744;4215;2958;4863;2455
05;104;Krefeld, Stadt;144708;118615;3960;114655;64472;35733;0;8807;1751;382;2705;805
05;105;Leverkusen, Stadt;57581;46659;1606;45053;25024;14524;0;3295;470;85;1281;374
05;106;Mönchengladbach, Stadt;100614;82040;2710;79330;54451;16783;0;3942;972;930;1640;612
05;107;Mülheim an der Ruhr, Stadt;124264;102235;3276;98959;43186;43930;0;7916;1439;152;1545;791
05;108;Neuss, Stadt;56570;46140;1501;44639;28800;10708;0;2172;668;191;1732;368
05;109;Oberhausen, Stadt;166208;137380;6705;130675;70502;48229;0;5189;1238;2011;1811;1695
05;110;Remscheid, Stadt;87828;72312;2274;70038;34538;24224;0;7895;1036;91;1627;627
05;111;Rheydt, Stadt;63264;51915;2082;49833;29651;13505;0;3284;945;1077;937;434
05;112;Solingen, Stadt;122263;103241;3586;99655;47902;38123;0;8979;1538;116;1876;1121
05;113;Viersen, Stadt;28257;23931;861;23070;13846;6761;0;1154;444;185;506;174
05;114;Wuppertal, Stadt;302710;240395;8418;231977;115095;83151;0;19922;5330;1726;5011;1742
05;115;Dinslaken;68245;56846;1776;55070;23844;25585;0;3486;486;401;887;381
05;116;Düsseldorf-Mettmann;200602;165323;4382;160941;83479;55508;0;11399;2958;1252;4759;1586
05;117;Geldern;48962;43881;1032;42849;34087;5846;0;1436;341;321;662;156
05;118;Grevenbroich;108369;91579;2737;88842;59625;19063;0;3782;1289;780;3783;520
05;119;Kempen-Krefeld;129680;111142;3512;107630;69695;26009;0;4955;1015;1753;3541;662
05;120;Kleve;57506;50579;1128;49451;35168;10266;0;2287;479;384;572;295
05;121;Moers;190663;160579;4202;156377;77820;63711;0;8455;1382;688;3195;1126
05;122;Rees;58111;49666;1233;48433;26902;13692;0;5210;577;1084;803;165
05;123;Rhein-Wupper-Kreis;118279;99105;2722;96383;53547;27199;0;8122;1501;258;4797;959
05;124;Bonn, Stadt;100171;73514;2937;70577;44451;15018;0;6093;2169;187;1885;774
05;125;Köln, Stadt;536459;417836;17265;400571;226977;131298;0;26264;5163;548;6477;3844
05;126;Bergheim (Erft);66397;57694;2058;55636;31339;19877;0;2358;463;107;1235;257
05;127;Bonn;120179;99733;3896;95837;64435;18994;0;6566;1857;393;2754;838
05;128;Euskirchen;66087;57071;2111;54960;36722;12425;0;2922;513;218;1669;491
05;129;Köln;122264;102687;3204;99483;57635;32589;0;4817;859;105;2802;676
05;130;Oberbergischer Kreis;87578;73099;2156;70943;35277;20447;0;7683;2400;213;3291;1632
05;131;Rheinisch-Bergischer Kreis;125645;106414;3112;103302;65569;25062;0;6539;1033;449;3943;707
05;132;Rhein-Sieg-Kreis;152699;129446;4396;125050;81136;27331;0;6261;2053;2379;4897;993
05;133;Aachen, Stadt;110726;90538;2767;87771;53858;25235;0;5292;1313;192;1341;540
05;134;Aachen;165725;142805;5214;137591;83787;44135;0;5318;1223;510;1703;915
05;135;Düren;90594;77689;2391;75298;50566;19024;0;3281;815;246;812;554
